Id,Source,Target,Type,Weight,Label,Revista,Persona,PersonaOriginalEnRevista
e13,revista:heraldo de la mujer,persona:ana roque de duprey,Undirected,33,Heraldo de la Mujer — Ana Roqué de Duprey (33),Heraldo de la Mujer,Ana Roqué de Duprey,Ana Roqué de Duprey
e14,revista:heraldo de la mujer,persona:angel giorgetti,Undirected,1,Heraldo de la Mujer — Angel Giorgetti (1),Heraldo de la Mujer,Angel Giorgetti,Angel Giorgetti
e15,revista:heraldo de la mujer,persona:angel san padilla,Undirected,1,Heraldo de la Mujer — Angel San Padilla (1),Heraldo de la Mujer,Angel San Padilla,Angel San Padilla
e16,revista:heraldo de la mujer,persona:angelita c de mino,Undirected,1,Heraldo de la Mujer — Angelita C. de Miño (1),Heraldo de la Mujer,Angelita C. de Miño,Angelita C. de Miño
e17,revista:heraldo de la mujer,persona:annie besant,Undirected,1,Heraldo de la Mujer — Annie Besant (1),Heraldo de la Mujer,Annie Besant,Annie Besant
e18,revista:heraldo de la mujer,persona:antonio barcelo,Undirected,4,Heraldo de la Mujer — Antonio Barceló (4),Heraldo de la Mujer,Antonio Barceló,Antonio Barceló
e19,revista:heraldo de la mujer,persona:antonio otero,Undirected,1,Heraldo de la Mujer — Antonio Otero (1),Heraldo de la Mujer,Antonio Otero,Antonio Otero
e20,revista:heraldo de la mujer,persona:aristarco de samos,Undirected,2,Heraldo de la Mujer — Aristarco de Samos (2),Heraldo de la Mujer,Aristarco de Samos,Aristarco de Samos
e21,revista:heraldo de la mujer,persona:aristoteles,Undirected,2,Heraldo de la Mujer — Aristóteles (2),Heraldo de la Mujer,Aristóteles,Aristóteles
e22,revista:heraldo de la mujer,persona:armando d garcia,Undirected,1,Heraldo de la Mujer — Armando D. García (1),Heraldo de la Mujer,Armando D. García,Armando D. García
e23,revista:heraldo de la mujer,persona:arthur langdon,Undirected,4,Heraldo de la Mujer — Arthur Langdon (4),Heraldo de la Mujer,Arthur Langdon,Arthur Langdon
e24,revista:heraldo de la mujer,persona:avril de sainte-croix,Undirected,1,Heraldo de la Mujer — Avril de Sainte-Croix (1),Heraldo de la Mujer,Avril de Sainte-Croix,Avril de Sainte-Croix
e25,revista:heraldo de la mujer,persona:baron sonnino,Undirected,1,Heraldo de la Mujer — Barón Sonnino (1),Heraldo de la Mujer,Barón Sonnino,Barón Sonnino
e26,revista:heraldo de la mujer,persona:ben b lindsey,Undirected,3,Heraldo de la Mujer — Ben B. Lindsey (3),Heraldo de la Mujer,Ben B. Lindsey,Ben B. Lindsey
e27,revista:heraldo de la mujer,persona:blasco ibanez,Undirected,1,Heraldo de la Mujer — Blasco Ibáñez (1),Heraldo de la Mujer,Blasco Ibáñez,Blasco Ibáñez
e28,revista:heraldo de la mujer,persona:cambucha de sanchidrian,Undirected,1,Heraldo de la Mujer — Cambucha de Sanchidrián (1),Heraldo de la Mujer,Cambucha de Sanchidrián,Cambucha de Sanchidrián
e29,revista:heraldo de la mujer,persona:camille flammarion,Undirected,3,Heraldo de la Mujer — Camille Flammarion (3),Heraldo de la Mujer,Camille Flammarion,Camille Flammarion
e30,revista:heraldo de la mujer,persona:captain ravier,Undirected,1,Heraldo de la Mujer — Captain Ravier (1),Heraldo de la Mujer,Captain Ravier,Captain Ravier
e31,revista:heraldo de la mujer,persona:carlota mendez,Undirected,5,Heraldo de la Mujer — Carlota Mendez (5),Heraldo de la Mujer,Carlota Mendez,Carlota Mendez
e32,revista:heraldo de la mujer,persona:carmela eulate sanjurjo,Undirected,10,Heraldo de la Mujer — Carmela Eulate Sanjurjo (10),Heraldo de la Mujer,Carmela Eulate Sanjurjo,Carmela Eulate Sanjurjo
e33,revista:heraldo de la mujer,persona:carrie chapman catt,Undirected,1,Heraldo de la Mujer — Carrie Chapman Catt (1),Heraldo de la Mujer,Carrie Chapman Catt,Carrie Chapman Catt
e34,revista:heraldo de la mujer,persona:catherine breshkovsky,Undirected,2,Heraldo de la Mujer — Catherine Breshkovsky (2),Heraldo de la Mujer,Catherine Breshkovsky,Catherine Breshkovsky
e35,revista:heraldo de la mujer,persona:cayetano coll y toste,Undirected,2,Heraldo de la Mujer — Cayetano Coll y Toste (2),Heraldo de la Mujer,Cayetano Coll y Toste,Cayetano Coll y Toste
e36,revista:heraldo de la mujer,persona:concha melendez,Undirected,10,Heraldo de la Mujer — Concha Meléndez (10),Heraldo de la Mujer,Concha Meléndez,Concha Meléndez
e37,revista:heraldo de la mujer,persona:conde despara,Undirected,4,Heraldo de la Mujer — Conde Despara (4),Heraldo de la Mujer,Conde Despara,Conde Despara
e38,revista:heraldo de la mujer,persona:cosima liszt de wagner,Undirected,1,Heraldo de la Mujer — Cosima Liszt de Wagner (1),Heraldo de la Mujer,Cosima Liszt de Wagner,Cosima Liszt de Wagner
e39,revista:heraldo de la mujer,persona:david gray,Undirected,1,Heraldo de la Mujer — David Gray (1),Heraldo de la Mujer,David Gray,David Gray
e40,revista:heraldo de la mujer,persona:dolores bolio,Undirected,1,Heraldo de la Mujer — Dolores Bolio (1),Heraldo de la Mujer,Dolores Bolio,Dolores Bolio
e41,revista:heraldo de la mujer,persona:dora mayer,Undirected,1,Heraldo de la Mujer — Dora Mayer (1),Heraldo de la Mujer,Dora Mayer,Dora Mayer
e42,revista:heraldo de la mujer,persona:dr janer,Undirected,1,Heraldo de la Mujer — Dr. Janer (1),Heraldo de la Mujer,Dr. Janer,Dr. Janer
e43,revista:heraldo de la mujer,persona:eduardo alberto principe de gales,Undirected,1,Heraldo de la Mujer — Eduardo Alberto (Príncipe de Gales) (1),Heraldo de la Mujer,Eduardo Alberto (Príncipe de Gales),Eduardo Alberto (Príncipe de Gales)
e44,revista:heraldo de la mujer,persona:enrico caruso,Undirected,1,Heraldo de la Mujer — Enrico Caruso (1),Heraldo de la Mujer,Enrico Caruso,Enrico Caruso
e45,revista:heraldo de la mujer,persona:esopo,Undirected,1,Heraldo de la Mujer — Esopo (1),Heraldo de la Mujer,Esopo,Esopo
e46,revista:heraldo de la mujer,persona:essad pasha,Undirected,1,Heraldo de la Mujer — Essad Pasha (1),Heraldo de la Mujer,Essad Pasha,Essad Pasha
e47,revista:heraldo de la mujer,persona:eugenio maria de hostos,Undirected,2,Heraldo de la Mujer — Eugenio María de Hostos (2),Heraldo de la Mujer,Eugenio María de Hostos,Eugenio María de Hostos
e48,revista:heraldo de la mujer,persona:federico santander,Undirected,2,Heraldo de la Mujer — Federico Santander (2),Heraldo de la Mujer,Federico Santander,Federico Santander
e49,revista:heraldo de la mujer,persona:fidela m de rodriguez,Undirected,2,Heraldo de la Mujer — Fidela M. de Rodríguez (2),Heraldo de la Mujer,Fidela M. de Rodríguez,Fidela M. de Rodríguez
e50,revista:heraldo de la mujer,persona:francis jammes,Undirected,2,Heraldo de la Mujer — Francis Jammes (2),Heraldo de la Mujer,Francis Jammes,Francis Jammes
e51,revista:heraldo de la mujer,persona:francisco gonzalez fagundo,Undirected,2,Heraldo de la Mujer — Francisco González Fagundo (2),Heraldo de la Mujer,Francisco González Fagundo,Francisco González Fagundo
e52,revista:heraldo de la mujer,persona:frieda von buelow,Undirected,2,Heraldo de la Mujer — Frieda von Buelow (2),Heraldo de la Mujer,Frieda von Buelow,Frieda von Buelow
e53,revista:heraldo de la mujer,persona:friedrich nietzsche,Undirected,1,Heraldo de la Mujer — Friedrich Nietzsche (1),Heraldo de la Mujer,Friedrich Nietzsche,Friedrich Nietzsche
e54,revista:heraldo de la mujer,persona:frederic chopin,Undirected,4,Heraldo de la Mujer — Frédéric Chopin (4),Heraldo de la Mujer,Frédéric Chopin,Frédéric Chopin
e55,revista:heraldo de la mujer,persona:garrigou lagrange,Undirected,1,Heraldo de la Mujer — Garrigou Lagrange (1),Heraldo de la Mujer,Garrigou Lagrange,Garrigou Lagrange
e56,revista:heraldo de la mujer,persona:george brandes,Undirected,1,Heraldo de la Mujer — George Brandes (1),Heraldo de la Mujer,George Brandes,George Brandes
e57,revista:heraldo de la mujer,persona:georges clemenceau,Undirected,2,Heraldo de la Mujer — Georges Clemenceau (2),Heraldo de la Mujer,Georges Clemenceau,Georges Clemenceau
e58,revista:heraldo de la mujer,persona:geraldine maud froscher,Undirected,5,Heraldo de la Mujer — Geraldine Maud Froscher (5),Heraldo de la Mujer,Geraldine Maud Froscher,Geraldine Maud Froscher
e59,revista:heraldo de la mujer,persona:gomez carrillo,Undirected,1,Heraldo de la Mujer — Gomez Carrillo (1),Heraldo de la Mujer,Gomez Carrillo,Gomez Carrillo
e60,revista:heraldo de la mujer,persona:greta winslow,Undirected,1,Heraldo de la Mujer — Greta Winslow (1),Heraldo de la Mujer,Greta Winslow,Greta Winslow
e61,revista:heraldo de la mujer,persona:helen h gardener,Undirected,3,Heraldo de la Mujer — Helen H. Gardener (3),Heraldo de la Mujer,Helen H. Gardener,Helen H. Gardener
e62,revista:heraldo de la mujer,persona:herbert hoover,Undirected,2,Heraldo de la Mujer — Herbert Hoover (2),Heraldo de la Mujer,Herbert Hoover,Herbert Hoover
e63,revista:heraldo de la mujer,persona:hermilia galindo,Undirected,2,Heraldo de la Mujer — Hermilia Galindo (2),Heraldo de la Mujer,Hermilia Galindo,Hermilia Galindo
e64,revista:heraldo de la mujer,persona:isern benitez,Undirected,1,Heraldo de la Mujer — Isern Benítez (1),Heraldo de la Mujer,Isern Benítez,Isern Benítez
e65,revista:heraldo de la mujer,persona:isolina del toro,Undirected,1,Heraldo de la Mujer — Isolina del Toro (1),Heraldo de la Mujer,Isolina del Toro,Isolina del Toro
e66,revista:heraldo de la mujer,persona:john ruskin,Undirected,1,Heraldo de la Mujer — John Ruskin (1),Heraldo de la Mujer,John Ruskin,John Ruskin
e67,revista:heraldo de la mujer,persona:josefa aguayo de ventura,Undirected,2,Heraldo de la Mujer — Josefa Aguayo de Ventura (2),Heraldo de la Mujer,Josefa Aguayo de Ventura,Josefa Aguayo de Ventura
e68,revista:heraldo de la mujer,persona:joseph lockyer,Undirected,1,Heraldo de la Mujer — Joseph Lockyer (1),Heraldo de la Mujer,Joseph Lockyer,Joseph Lockyer
e69,revista:heraldo de la mujer,persona:jose de diego,Undirected,2,Heraldo de la Mujer — José de Diego (2),Heraldo de la Mujer,José de Diego,José de Diego
e70,revista:heraldo de la mujer,persona:julia reyes ruiz,Undirected,1,Heraldo de la Mujer — Julia Reyes Ruiz (1),Heraldo de la Mujer,Julia Reyes Ruiz,Julia Reyes Ruiz
e71,revista:heraldo de la mujer,persona:julie siegfried,Undirected,1,Heraldo de la Mujer — Julie Siegfried (1),Heraldo de la Mujer,Julie Siegfried,Julie Siegfried
e72,revista:heraldo de la mujer,persona:juliet barrett rublee,Undirected,1,Heraldo de la Mujer — Juliet Barrett Rublee (1),Heraldo de la Mujer,Juliet Barrett Rublee,Juliet Barrett Rublee
e73,revista:heraldo de la mujer,persona:komako kimura,Undirected,1,Heraldo de la Mujer — Komako Kimura (1),Heraldo de la Mujer,Komako Kimura,Komako Kimura
e74,revista:heraldo de la mujer,persona:lloyd george,Undirected,2,Heraldo de la Mujer — Lloyd George (2),Heraldo de la Mujer,Lloyd George,Lloyd George
e75,revista:heraldo de la mujer,persona:lola rodriguez de tio,Undirected,1,Heraldo de la Mujer — Lola Rodríguez de Tió (1),Heraldo de la Mujer,Lola Rodríguez de Tió,Lola Rodríguez de Tió
e76,revista:heraldo de la mujer,persona:lolita roque cepero,Undirected,1,Heraldo de la Mujer — Lolita Roqué Cepero (1),Heraldo de la Mujer,Lolita Roqué Cepero,Lolita Roqué Cepero
e77,revista:heraldo de la mujer,persona:louise weiss,Undirected,1,Heraldo de la Mujer — Louise Weiss (1),Heraldo de la Mujer,Louise Weiss,Louise Weiss
e78,revista:heraldo de la mujer,persona:luisa amelia de hostos,Undirected,3,Heraldo de la Mujer — Luisa Amelia de Hostos (3),Heraldo de la Mujer,Luisa Amelia de Hostos,Luisa Amelia de Hostos
e79,revista:heraldo de la mujer,persona:manuel del valle atiles,Undirected,1,Heraldo de la Mujer — Manuel del Valle Atiles (1),Heraldo de la Mujer,Manuel del Valle Atiles,Manuel del Valle Atiles
e80,revista:heraldo de la mujer,persona:marcelino sola,Undirected,1,Heraldo de la Mujer — Marcelino Solá (1),Heraldo de la Mujer,Marcelino Solá,Marcelino Solá
e81,revista:heraldo de la mujer,persona:margarita perez de celis,Undirected,2,Heraldo de la Mujer — Margarita Pérez de Celis (2),Heraldo de la Mujer,Margarita Pérez de Celis,Margarita Pérez de Celis
e82,revista:heraldo de la mujer,persona:maria barrera,Undirected,1,Heraldo de la Mujer — Maria Barrera (1),Heraldo de la Mujer,Maria Barrera,Maria Barrera
e83,revista:heraldo de la mujer,persona:maria de maeztu,Undirected,1,Heraldo de la Mujer — Maria de Maeztu (1),Heraldo de la Mujer,Maria de Maeztu,Maria de Maeztu
e84,revista:heraldo de la mujer,persona:maria vilarini,Undirected,1,Heraldo de la Mujer — Maria Vilarini (1),Heraldo de la Mujer,Maria Vilarini,Maria Vilarini
e85,revista:heraldo de la mujer,persona:marie bonnevial,Undirected,3,Heraldo de la Mujer — Marie Bonnevial (3),Heraldo de la Mujer,Marie Bonnevial,Marie Bonnevial
e86,revista:heraldo de la mujer,persona:maria angelina de hostos,Undirected,1,Heraldo de la Mujer — María Angelina de Hostos (1),Heraldo de la Mujer,María Angelina de Hostos,María Angelina de Hostos
e87,revista:heraldo de la mujer,persona:miguel guerra,Undirected,1,Heraldo de la Mujer — Miguel Guerra (1),Heraldo de la Mujer,Miguel Guerra,Miguel Guerra
e88,revista:heraldo de la mujer,persona:miles poindexter,Undirected,3,Heraldo de la Mujer — Miles Poindexter (3),Heraldo de la Mujer,Miles Poindexter,Miles Poindexter
e89,revista:heraldo de la mujer,persona:mme pronsard,Undirected,1,Heraldo de la Mujer — Mme. Pronsard (1),Heraldo de la Mujer,Mme. Pronsard,Mme. Pronsard
e90,revista:heraldo de la mujer,persona:mme ravier,Undirected,1,Heraldo de la Mujer — Mme. Ravier (1),Heraldo de la Mujer,Mme. Ravier,Mme. Ravier
e91,revista:heraldo de la mujer,persona:monsenor jones,Undirected,1,Heraldo de la Mujer — Monseñor Jones (1),Heraldo de la Mujer,Monseñor Jones,Monseñor Jones
e92,revista:heraldo de la mujer,persona:munoz rivera,Undirected,2,Heraldo de la Mujer — Muñoz Rivera (2),Heraldo de la Mujer,Muñoz Rivera,Muñoz Rivera
e93,revista:heraldo de la mujer,persona:nicole oresme,Undirected,2,Heraldo de la Mujer — Nicole Oresme (2),Heraldo de la Mujer,Nicole Oresme,Nicole Oresme
e94,revista:heraldo de la mujer,persona:nicolas copernico,Undirected,2,Heraldo de la Mujer — Nicolás Copérnico (2),Heraldo de la Mujer,Nicolás Copérnico,Nicolás Copérnico
e95,revista:heraldo de la mujer,persona:paul margueritte,Undirected,1,Heraldo de la Mujer — Paul Margueritte (1),Heraldo de la Mujer,Paul Margueritte,Paul Margueritte
e96,revista:heraldo de la mujer,persona:paulina luisi,Undirected,1,Heraldo de la Mujer — Paulina Luisi (1),Heraldo de la Mujer,Paulina Luisi,Paulina Luisi
e97,revista:heraldo de la mujer,persona:pedro giusti,Undirected,1,Heraldo de la Mujer — Pedro Giusti (1),Heraldo de la Mujer,Pedro Giusti,Pedro Giusti
e98,revista:heraldo de la mujer,persona:petra quijano,Undirected,1,Heraldo de la Mujer — Petra Quijano (1),Heraldo de la Mujer,Petra Quijano,Petra Quijano
e99,revista:heraldo de la mujer,persona:prentice mulford,Undirected,1,Heraldo de la Mujer — Prentice Mulford (1),Heraldo de la Mujer,Prentice Mulford,Prentice Mulford
e100,revista:heraldo de la mujer,persona:quintin negron sanjurjo,Undirected,1,Heraldo de la Mujer — Quintín Negrón Sanjurjo (1),Heraldo de la Mujer,Quintín Negrón Sanjurjo,Quintín Negrón Sanjurjo
e101,revista:heraldo de la mujer,persona:rafael del valle,Undirected,1,Heraldo de la Mujer — Rafael del Valle (1),Heraldo de la Mujer,Rafael del Valle,Rafael del Valle
e102,revista:heraldo de la mujer,persona:reina hatsepsut,Undirected,1,Heraldo de la Mujer — Reina Hatsepsut (1),Heraldo de la Mujer,Reina Hatsepsut,Reina Hatsepsut
e103,revista:heraldo de la mujer,persona:reina thyi,Undirected,1,Heraldo de la Mujer — Reina Thyi (1),Heraldo de la Mujer,Reina Thyi,Reina Thyi
e104,revista:heraldo de la mujer,persona:rodolfo gautier,Undirected,1,Heraldo de la Mujer — Rodolfo Gautier (1),Heraldo de la Mujer,Rodolfo Gautier,Rodolfo Gautier
e105,revista:heraldo de la mujer,persona:rosa rotherberg,Undirected,1,Heraldo de la Mujer — Rosa Rotherberg (1),Heraldo de la Mujer,Rosa Rotherberg,Rosa Rotherberg
e106,revista:heraldo de la mujer,persona:rosalia de castro,Undirected,1,Heraldo de la Mujer — Rosalia de Castro (1),Heraldo de la Mujer,Rosalia de Castro,Rosalia de Castro
e107,revista:heraldo de la mujer,persona:salvador brau,Undirected,1,Heraldo de la Mujer — Salvador Brau (1),Heraldo de la Mujer,Salvador Brau,Salvador Brau
e108,revista:heraldo de la mujer,persona:samuel smiles,Undirected,2,Heraldo de la Mujer — Samuel Smiles (2),Heraldo de la Mujer,Samuel Smiles,Samuel Smiles
e109,revista:heraldo de la mujer,persona:santiago alba,Undirected,1,Heraldo de la Mujer — Santiago Alba (1),Heraldo de la Mujer,Santiago Alba,Santiago Alba
e110,revista:heraldo de la mujer,persona:santo tomas de aquino,Undirected,2,Heraldo de la Mujer — Santo Tomás de Aquino (2),Heraldo de la Mujer,Santo Tomás de Aquino,Santo Tomás de Aquino
e111,revista:heraldo de la mujer,persona:santos sanchidrian,Undirected,1,Heraldo de la Mujer — Santos Sanchidrián (1),Heraldo de la Mujer,Santos Sanchidrián,Santos Sanchidrián
e112,revista:heraldo de la mujer,persona:sergio cuevas zequeira,Undirected,1,Heraldo de la Mujer — Sergio Cuevas Zequeira (1),Heraldo de la Mujer,Sergio Cuevas Zequeira,Sergio Cuevas Zequeira
e113,revista:heraldo de la mujer,persona:sisila de astol,Undirected,1,Heraldo de la Mujer — Sisila de Astol (1),Heraldo de la Mujer,Sisila de Astol,Sisila de Astol
e114,revista:heraldo de la mujer,persona:souza sales,Undirected,1,Heraldo de la Mujer — Souza Sales (1),Heraldo de la Mujer,Souza Sales,Souza Sales
e115,revista:heraldo de la mujer,persona:sr o'neil,Undirected,1,Heraldo de la Mujer — Sr. O'Neil (1),Heraldo de la Mujer,Sr. O'Neil,Sr. O'Neil
e116,revista:heraldo de la mujer,persona:sr vicenty,Undirected,1,Heraldo de la Mujer — Sr. Vicenty (1),Heraldo de la Mujer,Sr. Vicenty,Sr. Vicenty
e117,revista:heraldo de la mujer,persona:sra arias de delgado,Undirected,1,Heraldo de la Mujer — Sra. Arias de Delgado (1),Heraldo de la Mujer,Sra. Arias de Delgado,Sra. Arias de Delgado
e118,revista:heraldo de la mujer,persona:sra storrer de lago,Undirected,1,Heraldo de la Mujer — Sra. Storrer de Lago (1),Heraldo de la Mujer,Sra. Storrer de Lago,Sra. Storrer de Lago
e119,revista:heraldo de la mujer,persona:teodoro aguilar,Undirected,2,Heraldo de la Mujer — Teodoro Aguilar (2),Heraldo de la Mujer,Teodoro Aguilar,Teodoro Aguilar
e120,revista:heraldo de la mujer,persona:tous soto,Undirected,4,Heraldo de la Mujer — Tous Soto (4),Heraldo de la Mujer,Tous Soto,Tous Soto
e121,revista:heraldo de la mujer,persona:u s fawcett,Undirected,1,Heraldo de la Mujer — U. S. Fawcett (1),Heraldo de la Mujer,U. S. Fawcett,U. S. Fawcett
e122,revista:heraldo de la mujer,persona:vicente pales,Undirected,1,Heraldo de la Mujer — Vicente Palés (1),Heraldo de la Mujer,Vicente Palés,Vicente Palés
e123,revista:heraldo de la mujer,persona:vincenzo bellini,Undirected,1,Heraldo de la Mujer — Vincenzo Bellini (1),Heraldo de la Mujer,Vincenzo Bellini,Vincenzo Bellini
e124,revista:heraldo de la mujer,persona:voltaire,Undirected,1,Heraldo de la Mujer — Voltaire (1),Heraldo de la Mujer,Voltaire,Voltaire
e125,revista:heraldo de la mujer,persona:warren harding,Undirected,1,Heraldo de la Mujer — Warren Harding (1),Heraldo de la Mujer,Warren Harding,Warren Harding
e126,revista:heraldo de la mujer,persona:william penn,Undirected,1,Heraldo de la Mujer — William Penn (1),Heraldo de la Mujer,William Penn,William Penn
e127,revista:heraldo de la mujer,persona:william ramsay,Undirected,1,Heraldo de la Mujer — William Ramsay (1),Heraldo de la Mujer,William Ramsay,William Ramsay
e128,revista:heraldo de la mujer,persona:william taft,Undirected,1,Heraldo de la Mujer — William Taft (1),Heraldo de la Mujer,William Taft,William Taft
e129,revista:heraldo de la mujer,persona:wolfgang amadeus mozart,Undirected,1,Heraldo de la Mujer — Wolfgang Amadeus Mozart (1),Heraldo de la Mujer,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart
e130,revista:heraldo de la mujer,persona:woodrow wilson,Undirected,7,Heraldo de la Mujer — Woodrow Wilson (7),Heraldo de la Mujer,Woodrow Wilson,Woodrow Wilson
e131,revista:heraldo de la mujer,persona:y c mccandless,Undirected,1,Heraldo de la Mujer — Y. C. McCandless (1),Heraldo de la Mujer,Y. C. McCandless,Y. C. McCandless
e132,revista:fémina,persona:a scaroina,Undirected,1,Fémina — A. Scaroina (1),Fémina,A. Scaroina,A. Scaroina
e133,revista:fémina,persona:adolfo a nouel,Undirected,3,Fémina — Adolfo A. Nouel (3),Fémina,Adolfo A. Nouel,Adolfo A. Nouel
e134,revista:fémina,persona:alejandro cabrera reyes,Undirected,1,Fémina — Alejandro Cabrera Reyes (1),Fémina,Alejandro Cabrera Reyes,Alejandro Cabrera Reyes
e135,revista:fémina,persona:alfonsina m de rodriguez,Undirected,1,Fémina — Alfonsina M. de Rodríguez (1),Fémina,Alfonsina M. de Rodríguez,Alfonsina M. de Rodríguez
e136,revista:fémina,persona:alfonsina storni,Undirected,1,Fémina — Alfonsina Storni (1),Fémina,Alfonsina Storni,Alfonsina Storni
e137,revista:fémina,persona:alfonso,Undirected,1,Fémina — Alfonso (1),Fémina,Alfonso,Alfonso
e138,revista:fémina,persona:altagracia savinon,Undirected,1,Fémina — Altagracia Saviñón (1),Fémina,Altagracia Saviñón,Altagracia Saviñón
e139,revista:fémina,persona:amparito herrera,Undirected,3,Fémina — Amparito Herrera (3),Fémina,Amparito Herrera,Amparito Herrera
e140,revista:fémina,persona:america de moya,Undirected,1,Fémina — América de Moya (1),Fémina,América de Moya,América de Moya
e141,revista:fémina,persona:andres avelino,Undirected,1,Fémina — Andrés Avelino (1),Fémina,Andrés Avelino,Andrés Avelino
e142,revista:fémina,persona:antonio elmudesi,Undirected,1,Fémina — Antonio Elmudesi (1),Fémina,Antonio Elmudesi,Antonio Elmudesi
e143,revista:fémina,persona:antonio julian hac,Undirected,1,Fémina — Antonio Julián Hac (1),Fémina,Antonio Julián Hac,Antonio Julián Hac
e144,revista:fémina,persona:antonio valdez hijo,Undirected,3,Fémina — Antonio Valdez hijo (3),Fémina,Antonio Valdez hijo,Antonio Valdez hijo
e145,revista:fémina,persona:armando moreaux,Undirected,1,Fémina — Armando Moreaux (1),Fémina,Armando Moreaux,Armando Moreaux
e146,revista:fémina,persona:armando oscar,Undirected,8,Fémina — Armando Oscar (8),Fémina,Armando Oscar,Armando Oscar
e147,revista:fémina,persona:arsenio perdiguero,Undirected,2,Fémina — Arsenio Perdiguero (2),Fémina,Arsenio Perdiguero,Arsenio Perdiguero
e148,revista:fémina,persona:arturo pellerano alfau,Undirected,1,Fémina — Arturo Pellerano Alfau (1),Fémina,Arturo Pellerano Alfau,Arturo Pellerano Alfau
e149,revista:fémina,persona:aristides garcia mella,Undirected,2,Fémina — Arístides García Mella (2),Fémina,Arístides García Mella,Arístides García Mella
e150,revista:fémina,persona:atenas richiez,Undirected,1,Fémina — Atenas Richiez (1),Fémina,Atenas Richiez,Atenas Richiez
e151,revista:fémina,persona:augusto emilio,Undirected,1,Fémina — Augusto Emilio (1),Fémina,Augusto Emilio,Augusto Emilio
e152,revista:fémina,persona:b portela alvarez,Undirected,12,Fémina — B. Portela Alvarez (12),Fémina,B. Portela Alvarez,B. Portela Alvarez
e153,revista:fémina,persona:beatriz del dante,Undirected,1,Fémina — Beatriz del Dante (1),Fémina,Beatriz del Dante,Beatriz del Dante
e154,revista:fémina,persona:belen a de duran,Undirected,1,Fémina — Belén A. de Durán (1),Fémina,Belén A. de Durán,Belén A. de Durán
e155,revista:fémina,persona:benedetto giuseppe virilli,Undirected,1,Fémina — Benedetto Giuseppe Virilli (1),Fémina,Benedetto Giuseppe Virilli,Benedetto Giuseppe Virilli
e156,revista:fémina,persona:blanca rodriguez,Undirected,1,Fémina — Blanca Rodríguez (1),Fémina,Blanca Rodríguez,Blanca Rodríguez
e157,revista:fémina,persona:carlos b leonor,Undirected,2,Fémina — Carlos B. Leonor (2),Fémina,Carlos B. Leonor,Carlos B. Leonor
e158,revista:fémina,persona:carmelita morales,Undirected,1,Fémina — Carmelita Morales (1),Fémina,Carmelita Morales,Carmelita Morales
e159,revista:fémina,persona:carmen espinet,Undirected,1,Fémina — Carmen Espinet (1),Fémina,Carmen Espinet,Carmen Espinet
e160,revista:fémina,persona:celina l de gonzalez,Undirected,2,Fémina — Celina L. de González (2),Fémina,Celina L. de González,Celina L. de González
e161,revista:fémina,persona:celina regel gilson,Undirected,1,Fémina — Celina Regel Gilson (1),Fémina,Celina Regel Gilson,Celina Regel Gilson
