Id,Label,Type,NodeType,TotalFrequency,RevistaCount,Revistas,Variants
persona:felicidad villarica,Felicidad Villarica,persona,persona,2,1,Filipinas,Felicidad Villarica
persona:felipe barretto,Felipe Barretto,persona,persona,1,1,Filipinas,Felipe Barretto
persona:felipe de j espinosa,Felipe de J. Espinosa,persona,persona,1,1,Fémina,Felipe de J. Espinosa
persona:felipe rincon g,Felipe Rincón G.,persona,persona,1,1,Fémina,Felipe Rincón G.
persona:felisberta soliongko,Felisberta Soliongko,persona,persona,1,1,Filipinas,Felisberta Soliongko
persona:felix de jesus,Felix de Jesus,persona,persona,1,1,Filipinas,Felix de Jesus
persona:felix ullmann,Felix Ullmann,persona,persona,2,1,Filipinas,Felix Ullmann
persona:fernando ma guerrero,Fernando M.a Guerrero,persona,persona,1,1,Filipinas,Fernando M.a Guerrero
persona:fidel a reyes,Fidel A. Reyes,persona,persona,1,1,Filipinas,Fidel A. Reyes
persona:fidela m de rodriguez,Fidela M. de Rodríguez,persona,persona,2,1,Heraldo de la Mujer,Fidela M. de Rodríguez
persona:florencio,Florencio,persona,persona,2,1,Filipinas,Florencio
persona:florinda ligaya,Florinda Ligaya,persona,persona,2,1,Filipinas,Florinda Ligaya
persona:francis jammes,Francis Jammes,persona,persona,2,1,Heraldo de la Mujer,Francis Jammes
persona:francisca gesmundo,Francisca Gesmundo,persona,persona,8,1,Filipinas,Francisca Gesmundo
persona:francisco baltazar,Francisco Baltazar,persona,persona,3,1,Filipinas,Francisco Baltazar
persona:francisco de guia,Francisco de Guia,persona,persona,2,1,Filipinas,Francisco de Guia
persona:francisco ferrer guardia,Francisco Ferrer Guardia,persona,persona,1,1,Filipinas,Francisco Ferrer Guardia
persona:francisco gonzalez fagundo,Francisco González Fagundo,persona,persona,2,1,Heraldo de la Mujer,Francisco González Fagundo
persona:frieda von buelow,Frieda von Buelow,persona,persona,2,1,Heraldo de la Mujer,Frieda von Buelow
persona:friedrich nietzsche,Friedrich Nietzsche,persona,persona,1,1,Heraldo de la Mujer,Friedrich Nietzsche
persona:frederic chopin,Frédéric Chopin,persona,persona,4,1,Heraldo de la Mujer,Frédéric Chopin
persona:felix m perez,Félix M. Pérez,persona,persona,8,1,Fémina,Félix M. Pérez
persona:galo lichauco,Galo Lichauco,persona,persona,1,1,Filipinas,Galo Lichauco
persona:garrigou lagrange,Garrigou Lagrange,persona,persona,1,1,Heraldo de la Mujer,Garrigou Lagrange
persona:genarina polanco,Genarina Polanco,persona,persona,1,1,Fémina,Genarina Polanco
persona:generosa,Generosa,persona,persona,1,1,Filipinas,Generosa
persona:genivera prince,Genivera Prince,persona,persona,2,1,Fémina,Genivera Prince
persona:genoveva camaclan,Genoveva Camaclan,persona,persona,1,1,Filipinas,Genoveva Camaclan
persona:george brandes,George Brandes,persona,persona,1,1,Heraldo de la Mujer,George Brandes
persona:georges clemenceau,Georges Clemenceau,persona,persona,2,1,Heraldo de la Mujer,Georges Clemenceau
persona:geraldine maud froscher,Geraldine Maud Froscher,persona,persona,5,1,Heraldo de la Mujer,Geraldine Maud Froscher
persona:gertrude diersbach,Gertrude Diersbach,persona,persona,1,1,Filipinas,Gertrude Diersbach
persona:giovanni campa,Giovanni Campa,persona,persona,1,1,Fémina,Giovanni Campa
persona:gladys e de los santos n,Gladys E. de los Santos N.,persona,persona,2,1,Fémina,Gladys E. de los Santos N.
persona:gladys vanderbilt,Gladys Vanderbilt,persona,persona,1,1,Filipinas,Gladys Vanderbilt
persona:gloria faxas,Gloria Faxas,persona,persona,2,1,Fémina,Gloria Faxas
persona:godofredo canino,Godofredo Canino,persona,persona,2,1,Fémina,Godofredo Canino
persona:gomez carrillo,Gomez Carrillo,persona,persona,1,1,Heraldo de la Mujer,Gomez Carrillo
persona:graciano lopez jaena,Graciano Lopez Jaena,persona,persona,1,1,Filipinas,Graciano Lopez Jaena
persona:gregorio ballesteros,Gregorio Ballesteros,persona,persona,1,1,Filipinas,Gregorio Ballesteros
persona:gregorio m cansipit,Gregorio M. Cansipit,persona,persona,1,1,Filipinas,Gregorio M. Cansipit
persona:greta winslow,Greta Winslow,persona,persona,1,1,Heraldo de la Mujer,Greta Winslow
persona:guillermo,Guillermo,persona,persona,3,1,Filipinas,Guillermo
persona:haruko,Haruko,persona,persona,2,1,Filipinas,Haruko
persona:helen h gardener,Helen H. Gardener,persona,persona,3,1,Heraldo de la Mujer,Helen H. Gardener
persona:herbert hoover,Herbert Hoover,persona,persona,2,1,Heraldo de la Mujer,Herbert Hoover
persona:hermenegildo cruz,Hermenegildo Cruz,persona,persona,1,1,Filipinas,Hermenegildo Cruz
persona:hermilia galindo,Hermilia Galindo,persona,persona,2,1,Heraldo de la Mujer,Hermilia Galindo
persona:hetty green,Hetty Green,persona,persona,1,1,Filipinas,Hetty Green
persona:holofernes,Holofernes,persona,persona,2,1,Filipinas,Holofernes
persona:i h ducoudray,I. H. Ducoudray,persona,persona,1,1,Fémina,I. H. Ducoudray
persona:idin,Idin,persona,persona,1,1,Filipinas,Idin
persona:ignacio villamor,Ignacio Villamor,persona,persona,1,1,Filipinas,Ignacio Villamor
persona:irene baez de herrera,Irene Báez de Herrera,persona,persona,1,1,Fémina,Irene Báez de Herrera
persona:isabel amechazurra vda pellerano,Isabel Amechazurra Vda. Pellerano,persona,persona,17,1,Fémina,Isabel Amechazurra Vda. Pellerano
persona:isabel cortez,Isabel Cortez,persona,persona,2,1,Filipinas,Isabel Cortez
persona:isabel espinet,Isabel Espinet,persona,persona,1,1,Fémina,Isabel Espinet
persona:isabel la catolica,Isabel la Católica,persona,persona,1,1,Filipinas,Isabel la Católica
persona:isabelo de los reyes,Isabelo de los Reyes,persona,persona,2,1,Filipinas,Isabelo de los Reyes
persona:isern benitez,Isern Benítez,persona,persona,1,1,Heraldo de la Mujer,Isern Benítez
persona:isolina del toro,Isolina del Toro,persona,persona,1,1,Heraldo de la Mujer,Isolina del Toro
persona:j abraham,J. Abraham,persona,persona,1,1,Filipinas,J. Abraham
persona:j e del rosario,J. E. del Rosario,persona,persona,1,1,Filipinas,J. E. del Rosario
persona:j l,J. L.,persona,persona,1,1,Filipinas,J. L.
persona:j lewis crozer,J. Lewis Crozer,persona,persona,1,1,Filipinas,J. Lewis Crozer
persona:j m muxo,J. M. Muxó,persona,persona,1,1,Fémina,J. M. Muxó
persona:j perez lozada,J. Pérez Lozada,persona,persona,1,1,Fémina,J. Pérez Lozada
persona:jacinto zamora,Jacinto Zamora,persona,persona,1,1,Filipinas,Jacinto Zamora
persona:jaime c de veyra,Jaime C. de Veyra,persona,persona,1,1,Filipinas,Jaime C. de Veyra
persona:jean aicard,Jean Aicard,persona,persona,1,1,Filipinas,Jean Aicard
persona:joaquin ma bobea,Joaquín Ma. Bobea,persona,persona,9,1,Fémina,Joaquín Ma. Bobea
persona:joaquin s inchanstegui,Joaquín S. Inchanstegui,persona,persona,2,1,Fémina,Joaquín S. Inchanstegui
persona:john r edgar,John R. Edgar,persona,persona,2,1,Filipinas,John R. Edgar
persona:john ruskin,John Ruskin,persona,persona,1,1,Heraldo de la Mujer,John Ruskin
persona:jorge cuesta,Jorge Cuesta,persona,persona,2,1,Fémina,Jorge Cuesta
persona:jorge pou,Jorge Pou,persona,persona,1,1,Fémina,Jorge Pou
persona:jose maria caminero,Jose Maria Caminero,persona,persona,1,1,Fémina,Jose Maria Caminero
persona:jose zuniga,Jose Zuniga,persona,persona,1,1,Fémina,Jose Zuniga
persona:josefa aguayo de ventura,Josefa Aguayo de Ventura,persona,persona,2,1,Heraldo de la Mujer,Josefa Aguayo de Ventura
persona:joseph lockyer,Joseph Lockyer,persona,persona,1,1,Heraldo de la Mujer,Joseph Lockyer
persona:josephine leopoldine taufer,Josephine Leopoldine Taufer,persona,persona,2,1,Filipinas,Josephine Leopoldine Taufer
persona:jose antonio jimenez,José Antonio Jiménez,persona,persona,1,1,Fémina,José Antonio Jiménez
persona:jose burgos,José Burgos,persona,persona,1,1,Filipinas,José Burgos
persona:jose de diego,José de Diego,persona,persona,2,1,Heraldo de la Mujer,José de Diego
persona:jose de j nunez y dominguez,José de J. Núñez y Domínguez,persona,persona,1,1,Fémina,José de J. Núñez y Domínguez
persona:jose de jesus frometa,José de Jesús Frómeta,persona,persona,1,1,Fémina,José de Jesús Frómeta
persona:jose e fernandez,José E. Fernández,persona,persona,4,1,Fémina,José E. Fernández
persona:jose ernesto garcia aybar,José Ernesto García Aybar,persona,persona,1,1,Fémina,José Ernesto García Aybar
persona:jose luis perozo,José Luis Perozo,persona,persona,1,1,Fémina,José Luis Perozo
persona:jose martinez conde,José Martínez Conde,persona,persona,8,1,Fémina,José Martínez Conde
persona:jose maria de heredia,José María de Heredia,persona,persona,2,2,Fémina; Filipinas,José Maria de Heredia; José María de Heredia
persona:jose ramon lopez,José Ramón López,persona,persona,3,1,Fémina,José Ramón López
persona:jose torres diaz,José Torres Díaz,persona,persona,1,1,Fémina,José Torres Díaz
