revista,persona,frecuencia
Fémina,Lolín Espinet,1
Fémina,J. M. Muxó,1
Fémina,Lucila de Florentino,1
Fémina,Lalita de Hernández,1
Fémina,Carmelita Morales,1
Fémina,Carmen Espinet,1
Fémina,Cruz María Prince,1
Fémina,Rosa María Espinet,1
Fémina,Corza Espinet,1
Fémina,Isabel Espinet,1
Fémina,Mercedes A. Heureaux,1
Fémina,José Ernesto García Aybar,1
Fémina,América de Moya,1
Fémina,Eugenio Deschamps,1
Fémina,Rafael Elpidio Pera,1
Fémina,Rafaela H. Gómez,1
Fémina,Julio Dewindt,1
Fémina,Mirta Pichardo,1
Fémina,Miguel Ángel Fiallo,1
Fémina,Narcisa Sofé,1
Fémina,Antonio Elmudesi,1
Fémina,Irene Báez de Herrera,1
Fémina,Vitalia Marchena,1
Fémina,Venecia de Soto,1
Fémina,Fe Mesina,1
Fémina,Matildita Benzo,1
Fémina,María L. Vidaurre,1
Fémina,Teté Brea,1
Fémina,I. H. Ducoudray,1
Fémina,M. M. Gautier,1
Fémina,E. Valdés,1
Fémina,Raúl Carbuccia,1
Fémina,Mercedes Mota,1
Fémina,José Luis Perozo,1
Fémina,Edmundo Saint-Denis,1
Fémina,Lydia Lion Roberts,1
Fémina,Rafael Reyes,1
Fémina,Constantino Valero,1
Fémina,Alfonsina Storni,1
Fémina,Enrique Montano Hijo,1
Fémina,Luisa Puello,1
Fémina,Mercedes M. Pérez,1
Fémina,Tomás G. Senio,1
Fémina,Blanca Rodríguez,1
Fémina,José Antonio Jiménez,1
Fémina,Delia Sasso,1
Fémina,Pilar Jorge de Tella,1
Fémina,Felipe de J. Espinosa,1
Fémina,J. Pérez Lozada,1
Fémina,Maria Cristina Godoy,1
Fémina,Alejandro Cabrera Reyes,1
Fémina,Beatriz del Dante,1
Fémina,José María de Heredia,1
Fémina,Rosario Sansores,1
Fémina,Mercedes Quintero,1
Fémina,Juan Salvador Durán,1
Fémina,Belén A. de Durán,1
Fémina,Ernestina Gómez Pérez,1
Fémina,Fabiola Cano Soñé,1
Fémina,Genarina Polanco,1
Fémina,Rosa Colombina Mansfield,1
Fémina,Clemencia Merval,1
Fémina,Altagracia Saviñón,1
Fémina,Antonio Julián Hac,1
