revista,persona,frecuencia
Filipinas,Cecilio Apóstol,1
Filipinas,Pascual H. Poblete,1
Filipinas,Mrs. William Howard Taft,6
Filipinas,William Howard Taft,2
Filipinas,Victoria Eugenia Ena de Battenberg,1
Filipinas,Príncipe Enrique Battenberg,1
Filipinas,Princesa Beatriz,1
Filipinas,Príncipe Alberto,1
Filipinas,Eduardo VII,1
Filipinas,Eugenia,1
Filipinas,Napoleón III,1
Filipinas,Haruko,2
Filipinas,Mutsu-Hito,1
Filipinas,Andrés Bonifacio,2
Filipinas,Silvano,6
Filipinas,Justina Iliwanag,1
Filipinas,Beatriz,5
Filipinas,Dolores C. Velarde,1
Filipinas,Hetty Green,1
Filipinas,Mrs. Russell Sage,1
Filipinas,Von Bohlen,1
Filipinas,Krupp,1
Filipinas,Ana Wauker,1
Filipinas,Sra. Creel,1
Filipinas,Ogden Goelet,1
Filipinas,Duquesa de Roxburgh,1
Filipinas,Gladys Vanderbilt,1
Filipinas,Condesa de Szechanbl,1
Filipinas,Marquesa de Graham,1
Filipinas,Blundell Maple,1
Filipinas,Mme. Jules Lebandy,1
Filipinas,Saint Prosper,1
Filipinas,Caro,1
Filipinas,Thomas,1
Filipinas,Aime Martin,1
Filipinas,J. L.,1
Filipinas,Bonald,1
Filipinas,Lessing,1
Filipinas,Legouve,1
Filipinas,Buigricout,1
Filipinas,Saturnina Rizal,4
Filipinas,Dr. José Rizal,7
Filipinas,Generosa,1
Filipinas,Benita A. de Roda,1
Filipinas,Pura Villanueva,1
Filipinas,Felicidad Legaspi,1
Filipinas,Anne Morgan,3
Filipinas,Morgan,1
Filipinas,Dr. Charles Stiles,2
Filipinas,Rockefeller,1
Filipinas,Schmidt,1
Filipinas,Zeigler,1
Filipinas,Josephine Leopoldine Taufer,2
Filipinas,Mimosa Pedica,1
Filipinas,Felicidad Villarica,2
Filipinas,Adan,1
Filipinas,Eva,1
Filipinas,Isabel Cortez,2
