revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Fémina,4,Poesía y Sentimiento,"versos, rimas, amor, alma, ensueño, corazón, suspiros, poesía",7,"amor, alma, vida, ojos, corazón, dulce, luz, sol, cielo, dios, flores, triste, noche, mar, labios, luna, frente, dolor, tí, flor",0.2372,0.9386,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.2372,0.9614
Fémina,5,Vida Social y Eventos,"social, bienvenida, boda, cumpleaños, salón, fiesta, elegante, distinguidos",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.9174,4,"clase, filipinas, cruz, semanario, sacrificio, ciudad, santa, número, dulces, correspondencia, alegres, fuertes, francisco, bizcochos, vende, jóvenes, conservar, fuego, pies, juventud",0.0,0.9174
Fémina,6,Religión y Devoción,"religión, altagracia, coronación, fe, dios, iglesia, rezos, santo",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8915,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8915
Fémina,7,Literatura y Producción Intelectual,"literatura, letras, pluma, prosa, páginas, escritor, libros, cultura",3,"fémina, revista, macorís, san, pedro, página, macoris, edición, número, femina, frias, mes, año, montalvo, páginas, libro, srta, mujer, labor, charada",0.0791,0.9095,9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.0791,0.9181
Filipinas,8,Salud e Higiene,"higiene, medicina, salud, botica, recetas, limpieza, enfermos, médicos",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8454,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8454
Filipinas,1,Educación e Instrucción,"educación, enseñanza, escuela, instrucción, niñas, maestros, aprendizaje, saber",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.0791,0.7911,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.7923
Filipinas,2,Rol de la Mujer y Familia,"mujer, hogar, familia, hijos, influencia, virtudes, madre, compañera",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.4743,0.9581,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.4743,0.9581
Fémina,3,Economía Doméstica y Labores,"cocina, recetas, doméstico, bordados, costura, labores, alimentos, limpieza",0,"noche, casa, oro, pauna, velas, tannas, manos, puerta, guerra, paso, cara, cabeza, viejo, hombre, voz, campo, orilla, medalla, cosa, mano",0.0,0.8029,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0,0.8654
Filipinas,4,Higiene y Medicina Casera,"higiene, medicina, salud, dientes, enfermedades, cuidados, cuerpo, aseo",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8525,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8525
Fémina,5,Literatura y Narrativa,"leyenda, cuento, historia, literatura, prosa, lectura, personajes, narración",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0791,0.8768,9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.0791,0.8821
Heraldo de la Mujer,6,Feminismo y Espíritu Moderno,"feminismo, progreso, moderno, derechos, emancipación, dignidad, civilización, evolución",0,"mujer, mujeres, vida, mundo, hombres, hombre, pueblo, progreso, amor, tierra, derecho, pueblos, alma, patria, dios, madre, humanidad, moderna, nombre, años",0.0791,0.8841,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0,0.8905
Heraldo de la Mujer,7,Filantropía y Beneficencia,"caridad, hospital, beneficencia, pobres, sociedad, donativo, generosidad, ayuda",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.1581,0.7847,5,"mujer, años, ve, hombre, débiles, ricos, gastado, defecto, personas, enfermedad, mr, desespereis, pueblo, mundo, talento, moral, guanajuato, ciudad, méxico, vida",0.0,0.8072
Filipinas,8,Geografía y Naturaleza,"filipinas, volcanes, manila, provincias, paisaje, naturaleza, nativo, archipiélago",8,"manila, mes, filipinas, provincias, años, poblete, pesos, luz, oro, subscripción, precios, gesmundo, tel, pago, trimestre, jóvenes, escuelas, mujeres, febrero, número",0.2372,0.8105,8,"manila, mes, filipinas, provincias, años, poblete, pesos, luz, oro, subscripción, precios, gesmundo, tel, pago, trimestre, jóvenes, escuelas, mujeres, febrero, número",0.2372,0.8105
