revista,lda_topic_number,lda_topic_name,lda_keywords,lex_matched_voyant_idx,lex_matched_voyant_keywords,lex_match_lex_score,lex_match_emb_score,emb_matched_voyant_idx,emb_matched_voyant_keywords,emb_match_lex_score,emb_match_emb_score
Filipinas,3,Rol Social de la Mujer,"mujer, feminismo, dignidad, virtud, belleza, espíritu, influencia, compañera",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.2372,0.8375,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.1581,0.8981
Filipinas,4,Higiene y Medicina Casera,"higiene, salud, enfermedad, remedio, médico, cuidado, limón, dientes",3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8461,3,"harina, nestle, agua, lacteada, página, filipinas, vida, abanicos, niños, conocimientos, higiene, alimento, práctica, artes, ilustrado, oriente, leche, caseras, medicinas, bella",0.0791,0.8461
Filipinas,5,Literatura y Leyendas,"leyenda, cuento, poesía, literaria, historia, corazón, lágrimas, pensamiento",7,"amor, vida, corazón, alma, noche, flores, alegría, madre, luz, jóven, mujer, lágrimas, dios, dolor, dulce, voz, sueño, sol, luna, hermosa",0.1581,0.9068,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0791,0.9375
Fémina,6,Patriotismo,"patria, filipina, héroes, libertad, nación, pueblo, raza, bandera",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.2372,0.8935,4,"mujeres, república, liga, américa, internacional, colón, hispano, luz, mundo, país, york, servicio, españa, puerto, new, carga, años, rico, punto, literarios",0.0,0.8986
Heraldo de la Mujer,7,Beneficencia y Salud Pública,"hospital, caridad, enfermeras, beneficencia, socorro, pobres, asilados, donación",9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0791,0.7612,2,"rico, puerto, mujer, mujeres, duprey, sra, san, ana, señora, señor, piedras, americana, roque, don, dr, puertorriqueña, amigo, derechos, hostos, srta",0.0,0.7847
Fémina,8,Comercio y Anuncios,"anuncios, comercio, precio, almacén, bizcochos, máquinas, calzado, reloj",8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.8669,8,"nombre, retrato, detalle, casa, padre, material, pueblo, centavos, vender, cuarta, genio, cremas, fama, construcción, muchacha, cantidad, precio, artículos, plomería, sport",0.0791,0.8669
Fémina,1,Patriotismo y Soberanía Nacional,"patria, libertad, soberanía, independencia, derecho, servidumbre, restauración, nacionalidad",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8601,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0791,0.8651
Heraldo de la Mujer,2,Feminismo e Intelectualidad,"feminismo, intelectual, cultura, evolución, emancipación, derechos, asociación, dignificación",2,"rico, puerto, mujer, mujeres, duprey, sra, san, ana, señora, señor, piedras, americana, roque, don, dr, puertorriqueña, amigo, derechos, hostos, srta",0.0791,0.814,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0,0.8862
Heraldo de la Mujer,3,Creación Literaria y Poesía,"versos, bardo, lira, ritmo, estrofa, novela, poeta, inspiración",1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0791,0.9269,1,"vida, naturaleza, amor, hombre, alma, cielo, tierra, mos, dores, estudio, hermosa, poeta, poetas, suelo, obras, luz, mente, dolor, poesía, pre",0.0791,0.9269
Fémina,4,Religión y Coronación de la Altagracia,"virgen, coronación, fe, templo, religión, iglesia, piedad, sagrado",1,"muerte, muertos, templo, hombres, razón, espíritu, americanos, escudo, ricos, árbol, forma, persona, suerte, europeos, armas, patentizados, fuerte, oculta, fuerza, pueblos",0.0791,0.8362,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.0,0.8601
Filipinas,5,Hogar y Maternidad,"madre, hogar, hijos, abnegación, familia, sacrificio, niños, corazón",0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3953,0.9352,0,"mujer, hombre, casa, educación, vida, hogar, página, mundo, manos, madre, hijos, hombres, sociedad, familia, madres, niño, influencia, belleza, niños, amor",0.3953,0.9352
Fémina,6,Necrología y Memoria Histórica,"muerte, fallecimiento, tumba, restos, recuerdo, pésame, vida, memoria",2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8875,2,"pueblo, vida, patria, gloria, libertad, madre, historia, frente, camino, dios, memoria, dolor, nombre, corona, sangre, año, mundo, campo, fé, manos",0.1581,0.8875
Fémina,7,Vida Social y Banquetes,"bodas, visita, viaje, aniversario, sociedad, huesped, banquete, fiesta",5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.8856,5,"mujer, hombre, vida, hogar, patria, mujeres, hombres, sociedad, mundo, social, amor, moral, madre, espíritu, noble, pueblos, dominicana, alma, sexo, obra",0.0791,0.8856
Fémina,8,Pedagogía y Magisterio,"escuela, educación, maestra, ciencia, estudio, instrucción, aula, pedagogía",9,"petronila, gomez, mujer, maestra, angelica, literatura, normal, ciencias, nación, artes, revista, consagrada, hemeroteca, femina, casa, niklos, paula, música, parque, silencio",0.0791,0.8081,9,"años, niños, escuelas, pobres, movimiento, música, ninos, mente, materia, aguas, siglo, libertad, sociedad, viene, paso, nación, conernico, pen, canta, orgullo",0.0,0.8163
